Time SenderId SenderProto   ReceiverId ReceiverProto     Commodity          Quantity               
864  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
865  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
866  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
867  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
868  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
869  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
870  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
871  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
872  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
873  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
874  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
875  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
876  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
877  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
878  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
879  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
880  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
881  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
882  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
883  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
884  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
885  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
886  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
887  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
888  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
889  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
890  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
891  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
892  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
893  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
894  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
895  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
896  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
897  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
898  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
899  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
900  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
901  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
902  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
903  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
904  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
905  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
906  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
907  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
908  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
909  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
910  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
911  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
912  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
913  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
914  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
915  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
916  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
917  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
918  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
919  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
920  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
921  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
922  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
923  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
924  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
925  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
926  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
927  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
